"query"	"Description"	"Preferred_name"	"GOs"	"EC"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"BRITE"	"KEGG_TC"	"CAZy"	"BiGG_Reaction"	"PFAMs"
"CDS::101588_1:226195-226654(+)"	"Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P)"	"tpiA"	"GO:0003674,GO:0003824,GO:0004807,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006066,GO:0006071,GO:0006081,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019400,GO:0019405,GO:0019438,GO:0019439,GO:0019563,GO:0019637,GO:0019682,GO:0019693,GO:0019751,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044262,GO:0044270,GO:0044271,GO:0044275,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046164,GO:0046166,GO:0046174,GO:0046184,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901616"	"5.3.1.1"	"ko:K01803"	"ko00010,ko00051,ko00562,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01130,map01200,map01230"	"M00001,M00002,M00003"	"R01015"	"RC00423"	"ko00000,ko00001,ko00002,ko01000,ko04147"	"-"	"-"	"-"	"TIM"
"CDS::101588_1:226720-226954(+)"	"Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate"	"gpmI"	"GO:0003674,GO:0003824,GO:0004619,GO:0005488,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016866,GO:0016868,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0030145,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043167,GO:0043169,GO:0043436,GO:0043937,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046537,GO:0046700,GO:0046872,GO:0046914,GO:0046939,GO:0050789,GO:0050793,GO:0051186,GO:0051188,GO:0055086,GO:0065007,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576"	"5.4.2.12"	"ko:K15633"	"ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230"	"M00001,M00002,M00003"	"R01518"	"RC00536"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"Metalloenzyme,Phosphodiest,iPGM_N"
"CDS::101588_1:230250-230715(+)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_1:240208-241135(+)"	"C-terminus of bacterial fibrinogen-binding adhesin"	"-"	"GO:0001968,GO:0003674,GO:0005488,GO:0005515,GO:0008150,GO:0044877,GO:0051704,GO:0070051,GO:0098630,GO:0098743"	"-"	"ko:K13733,ko:K14201"	"ko05100,ko05150,map05100,map05150"	"-"	"-"	"-"	"ko00000,ko00001"	"-"	"-"	"-"	"Gram_pos_anchor,SdrG_C_C,YSIRK_signal"
"CDS::101588_1:246257-246461(+)"	"Staphylococcal nuclease homologues"	"-"	"-"	"3.1.31.1"	"ko:K01174"	"-"	"-"	"-"	"-"	"ko00000,ko01000"	"-"	"-"	"-"	"Excalibur,SNase"
"CDS::101588_1:248338-248833(-)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_1:249231-249654(-)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_1:254404-254794(+)"	"Involved in the third step of the chorismate pathway, which leads to the biosynthesis of aromatic amino acids. Catalyzes the cis-dehydration of 3-dehydroquinate (DHQ) and introduces the first double bond of the aromatic ring to yield 3- dehydroshikimate"	"aroD"	"-"	"4.2.1.10"	"ko:K03785"	"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230"	"M00022"	"R03084"	"RC00848"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"DHquinase_I"
"CDS::101588_1:254786-255083(+)"	"nitroreductase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Nitroreductase"
"CDS::101588_1:257063-257885(+)"	"Domain of unknown function (DUF1963)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF1963"
"CDS::101588_1:281780-282104(+)"	"Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D-alanyl carrier protein (Dcp) DltC. In an ATP- dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall"	"dltA"	"GO:0000166,GO:0000270,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0006810,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016208,GO:0016874,GO:0016879,GO:0016881,GO:0017076,GO:0022857,GO:0030203,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034645,GO:0036094,GO:0042546,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0051179,GO:0051234,GO:0055085,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576"	"6.1.1.13"	"ko:K03367"	"ko00473,ko01503,ko02020,ko05150,map00473,map01503,map02020,map05150"	"M00725"	"R02718"	"RC00037,RC00094"	"ko00000,ko00001,ko00002,ko01000,ko01504"	"-"	"-"	"-"	"AMP-binding,AMP-binding_C"
"CDS::101588_1:284606-285815(+)"	"COG3966 Protein involved in D-alanine esterification of lipoteichoic acid and wall teichoic acid (D-alanine transfer protein)"	"dltD"	"-"	"-"	"ko:K03740"	"ko01503,ko02020,ko05150,map01503,map02020,map05150"	"M00725"	"-"	"-"	"ko00000,ko00001,ko00002,ko01504"	"-"	"-"	"-"	"DltD"
"CDS::101588_1:314749-318403(+)"	"SNARE associated Golgi protein"	"yhjE"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"SNARE_assoc"
"CDS::101588_1:328490-330668(-)"	"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"EFG_C,EFG_II,EFG_IV,GTP_EFTU"
"CDS::101588_1:333101-333494(-)"	"NlpC p60 family protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Lysozyme_like,NLPC_P60"
"CDS::101588_1:333582-334080(-)"	"the current gene model (or a revised gene model) may contain a frame shift"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_1:338983-339160(-)"	"Antirestriction protein (ArdA)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ArdA"
"CDS::101588_1:348441-348957(+)"	"Acyltransferase family"	"oatA"	"GO:0000271,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009987,GO:0016020,GO:0016051,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0071704,GO:0071944,GO:1901135,GO:1901137,GO:1901576,GO:1903509"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Acyl_transf_3"
"CDS::101588_1:359206-360109(+)"	"COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components"	"oppB"	"-"	"-"	"ko:K15581"	"ko01501,ko02010,ko02024,map01501,map02010,map02024"	"M00439"	"-"	"-"	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25"	"-"	"-"	"BPD_transp_1"
"CDS::101588_1:373531-374167(+)"	"Enables the recognition and targeting of unfolded and aggregated proteins to the ClpC protease or to other proteins involved in proteolysis"	"mecA"	"-"	"-"	"ko:K16511"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"MecA"
"CDS::101588_1:386227-387403(-)"	"AI-2E family transporter"	"yueF"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AI-2E_transport"
"CDS::101588_1:389307-389559(+)"	"(Alanine) symporter"	"-"	"-"	"-"	"ko:K03310"	"-"	"-"	"-"	"-"	"ko00000"	"2.A.25"	"-"	"-"	"Na_Ala_symp"
"CDS::101588_1:394785-396144(+)"	"Catalyzes the addition of L-lysine to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan"	"murE"	"-"	"6.3.2.13,6.3.2.7"	"ko:K01928,ko:K05362"	"ko00300,ko00550,ko01100,map00300,map00550,map01100"	"-"	"R02786,R02788"	"RC00064,RC00090"	"ko00000,ko00001,ko01000,ko01011"	"-"	"-"	"-"	"Mur_ligase,Mur_ligase_C,Mur_ligase_M"
"CDS::101588_1:444601-445168(+)"	"Catalyzes the ATP-dependent conversion of 5- aminoimidazole ribonucleotide (AIR) and HCO(3)(-) to N5- carboxyaminoimidazole ribonucleotide (N5-CAIR)"	"purK"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"	"6.3.4.18"	"ko:K01589"	"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"	"M00048"	"R07404"	"RC01927"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"2-Hacid_dh_C,ATP-grasp"
"CDS::101588_1:445182-446661(+)"	"Catalyzes the ATP-dependent conversion of 5- aminoimidazole ribonucleotide (AIR) and HCO(3)(-) to N5- carboxyaminoimidazole ribonucleotide (N5-CAIR)"	"purK"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"	"6.3.4.18"	"ko:K01589"	"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"	"M00048"	"R07404"	"RC01927"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"2-Hacid_dh_C,ATP-grasp"
"CDS::101588_1:465720-466833(+)"	"oxidase, subunit"	"cydA"	"-"	"1.10.3.14"	"ko:K00425"	"ko00190,ko01100,ko02020,map00190,map01100,map02020"	"M00153"	"R11325"	"RC00061"	"ko00000,ko00001,ko00002,ko01000"	"3.D.4.3"	"-"	"-"	"Cyt_bd_oxida_I"
