# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA,tRNA,RNA" "-g" "Name" "-a" "../data/reference_sequences/WG_with_sRNAs_Staphylococcus_aureus_101588.gff3" "-o" "../data/rna_align/counttable.txt" "../data/rna_align/LND_0_rep1.fq.gz.bam" "../data/rna_align/LND_0_rep2.fq.gz.bam" "../data/rna_align/LND_0_rep3.fq.gz.bam" "../data/rna_align/LND_16_rep1.fq.gz.bam" "../data/rna_align/LND_16_rep2.fq.gz.bam" "../data/rna_align/LND_16_rep3.fq.gz.bam" "../data/rna_align/LND_8_rep1.fq.gz.bam" "../data/rna_align/LND_8_rep2.fq.gz.bam" "../data/rna_align/LND_8_rep3.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/LND_0_rep1.fq.gz.bam	../data/rna_align/LND_0_rep2.fq.gz.bam	../data/rna_align/LND_0_rep3.fq.gz.bam	../data/rna_align/LND_16_rep1.fq.gz.bam	../data/rna_align/LND_16_rep2.fq.gz.bam	../data/rna_align/LND_16_rep3.fq.gz.bam	../data/rna_align/LND_8_rep1.fq.gz.bam	../data/rna_align/LND_8_rep2.fq.gz.bam	../data/rna_align/LND_8_rep3.fq.gz.bam
hypothetical protein	101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_2;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_3;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_4;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_5;101588_6;101588_6;101588_6;101588_6;101588_6;101588_6;101588_6;101588_6;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_7;101588_8;101588_8;101588_8;101588_8;101588_8;101588_8;101588_8;101588_8;101588_8;101588_8;101588_9;101588_10;101588_10;101588_10;101588_12;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_13;101588_14;101588_14;101588_14;101588_14;101588_14;101588_14;101588_14;101588_14;101588_16;101588_16;101588_16;101588_16;101588_16;101588_16;101588_17;101588_17;101588_18;101588_18;101588_19;101588_19;101588_21;101588_21;101588_22;101588_22;101588_24;101588_25;101588_25;101588_25;101588_26;101588_36	11721;12089;14931;33021;34104;36136;50742;51410;88034;88987;91578;92833;102262;105833;107989;112663;113173;113694;123759;130678;178582;198028;217211;226196;231525;233838;234498;242978;246258;252828;258693;309418;389308;399062;400546;400737;402351;404646;418326;434183;451792;454738;464924;475593;476895;495528;527707;529389;535062;542569;544308;579981;580630;588433;669207;12559;18024;55779;56020;69610;111847;115278;115739;127496;127777;128581;142709;143523;144244;176562;177944;182918;183430;209047;244032;244311;244683;245440;245656;246458;248339;266157;273931;289597;296907;322415;322642;326564;337258;349959;352691;405692;406349;408204;408399;426254;451506;457659;480682;483130;495785;531823;532618;535306;535763;536588;537423;589542;618601;675005;28798;77097;134677;151235;162443;170243;171001;197547;209093;219826;245928;247659;288214;299692;313045;322098;328911;338979;370711;371429;372409;373393;374744;381082;397896;398461;414207;417351;463619;463908;465048;474586;482220;490022;512817;516853;517078;547392;570314;577576;579247;585098;585335;170644;222416;283345;283577;300799;316609;329308;562032;562407;563629;563785;576670;581357;583398;583526;584435;588668;589414;609104;611148;17739;19708;29783;38143;46903;61952;63702;65883;71961;72511;73291;80179;81873;82766;84762;89133;106341;132226;174378;175969;177132;206214;223537;239575;251027;261796;288233;294121;311196;397910;398454;19163;38660;38993;39313;58497;77495;84217;85163;85915;86649;105187;112702;118431;153569;154114;155706;156287;158378;158999;160015;160715;162294;162707;182784;188302;211800;226212;271120;275150;306056;308434;310504;336849;339359;353398;358948;379873;389994;392173;395711;396029;399737;400082;402181;407492;16018;16558;20162;29524;42944;86617;119510;120620;121551;123410;123793;145610;150619;157710;164325;188495;190291;207612;208116;209087;210788;211881;17146;17540;18380;26219;26602;48543;49266;70155;118492;124237;144073;149357;160803;166055;166518;2972;4795;5016;17175;38430;41810;50335;87824;110551;113878;114772;115197;115625;115946;116062;119917;122274;123431;124783;125816;126692;127708;140650;146723;174729;189147;15162;20869;67950;70717;96979;99374;116512;117726;121733;132037;132447;171840;172199;181993;5679;6131;19846;21720;32182;33758;27351;64189;15995;19144;36820;49232;50940;52489;53977;54561;55115;57505;61782;57735;63195;67050;81047;134274;2334;2623;5151;5664;7059;8712;9666;12929;13080;69350;42828;8320;35413;42871;12577;3;4634;4863;5664;6279;6725;7087;7512;7895;8714;9945;10344;10712;16953;20328;20971;21874;22355;22561;23175;24329;25978;28317;28895;31601;32001;32240;33526;34451;11294;33066;3391;6423;20298;20876;21820;15149;19785;23842;109;2567;3765;13546;14280;15113;10297;10596;1940;2301;2319;2805;1224;1511;359;1010;196;1;468;873;162;2	12086;12358;15311;33539;34733;36381;51248;52126;88531;90054;92006;93756;102906;106258;108633;113106;113556;113993;124046;131130;179460;198264;217840;226654;232070;234359;235028;243097;246461;253706;258887;309993;389559;399280;400722;401339;402635;404966;418514;434299;453087;455280;465550;476612;477314;495782;527874;529508;535262;542796;544496;580193;581031;589404;669599;12726;18788;56003;56223;70362;112536;115736;116422;127780;128394;129003;143182;143963;144828;176876;178462;183412;184191;209274;244250;244595;245252;245628;245916;246694;248833;266471;274197;290751;297290;322645;323064;327496;337641;350144;353062;405937;406705;408320;408614;426724;451640;457892;480873;483612;496174;532008;532851;535626;536479;537313;538148;589745;621207;675220;29022;77210;136164;152164;163423;170527;171474;197693;209401;221046;246635;248357;288576;300672;313293;322967;329159;339179;370890;371827;373278;374229;375616;381198;398471;399048;414557;417683;463870;465032;465485;474786;483029;490330;513161;516954;517326;547688;570628;578430;579435;585271;585454;170841;222685;283563;284158;300978;317115;329517;562271;562643;563730;564648;577260;581554;583520;584230;584686;588874;589503;609469;611441;18521;19977;30199;38337;47211;62797;63854;66419;72368;73173;74247;81801;82499;83152;85025;89324;106730;133053;175901;177135;178052;206351;223710;239919;251521;262569;289210;294615;311399;398461;399674;19558;38974;39316;40638;59528;77614;84468;85735;86283;86930;105900;113043;118871;153967;154488;155924;156970;158989;159448;160701;162268;162689;163003;183176;188490;211946;227441;271983;275989;306415;309408;311016;337616;340903;354636;359574;380346;390758;392655;396028;396313;400033;400285;402366;408151;16338;16788;21172;29799;43360;87060;120433;121564;123455;123574;124152;146125;151083;158285;164516;188824;190398;207917;208979;210562;211888;212252;17523;18361;18679;26587;26880;48986;49478;70355;119184;124848;145197;150124;161315;166450;166871;3148;4911;5447;17540;38612;42172;50454;87943;110913;114300;115170;115607;115825;116044;116445;120336;122465;124786;125568;126580;127465;128628;140799;147139;175139;189317;15518;21783;68609;71373;97434;100120;117720;118040;122014;132303;132755;172043;173161;182211;6134;6574;20484;22139;32835;35017;27998;64422;16111;19257;37446;49408;51620;53229;54501;55118;55957;57678;63152;57947;63605;67187;81370;134489;2555;3078;5372;5984;8510;9638;10274;13093;13250;69670;43397;9690;36021;44388;12696;2978;4879;5432;6242;6560;7072;7494;7871;8290;8926;10322;10571;10831;17132;20654;21798;22224;22558;22728;23420;24913;28317;28889;31582;31996;32225;33031;34419;34552;11437;33473;4473;7100;20420;21823;22323;15550;19889;23910;2313;3724;5555;13644;14639;15727;10539;10763;2308;3410;2672;2990;1325;2752;814;1126;702;453;779;1211;347;67	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;+;+;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;+;+;-;-;-;-;+;+	216735	406967	485443	459237	387257	330446	208708	424978	330886	324452
Novel pyridoxal kinase%2C thiD family	101588_1	13260	14090	-	831	2606	2877	2701	1364	1117	502	1552	1152	1269
Uracil-DNA glycosylase%2C family 1	101588_1	14274	14930	+	657	951	1103	986	1050	905	726	1196	921	952
UPF0382 membrane protein YwdK	101588_1	15444	15812	+	369	541	632	566	908	738	489	886	762	675
Cationic amino acid transporter	101588_1	15933	17417	+	1485	10790	10364	9543	16436	14641	13924	17577	14254	14830
Integral membrane protein	101588_1;101588_1;101588_3;101588_6;101588_7;101588_7	17559;54657;303223;10862;79998;106384	18011;55586;304473;11830;80600;107370	-;-;-;-;+;-	5193	4474	4370	4315	5375	4510	3747	5740	4809	4562
Coproheme decarboxylase HemQ (no EC)	101588_1	19337	20089	-	753	3695	3958	3570	1289	1132	815	1569	1306	1208
Phosphate acetyltransferase	101588_1	20257	21243	+	987	6707	7313	7084	4210	3805	2273	5170	3995	3832
Octanoyl-[GcvH]:protein N-octanoyltransferase	101588_1	21246	22082	+	837	4234	5600	5056	4527	4068	2252	5099	3910	3925
Mevalonate kinase	101588_1	22669	23589	+	921	1070	1150	1061	961	887	771	1042	878	813
Diphosphomevalonate decarboxylase	101588_1	23594	24577	+	984	1448	1591	1493	2027	1845	1924	2343	1723	1923
Phosphomevalonate kinase	101588_1	24590	25666	+	1077	1747	1981	1691	2416	2359	2111	2909	2210	2033
DUF1450 superfamily protein	101588_1;101588_1	25843;283545	26184;283781	+;+	579	664	853	753	940	847	744	994	730	891
Putative Dihydrolipoamide dehydrogenase%3B Mercuric%0Aion reductase%3B PF00070 family%2C FAD-dependent%0ANAD(P)-disulphide oxidoreductase	101588_1	26236	27558	-	1323	382	323	325	712	676	624	659	624	523
hypothetical fig|282458.1.peg.572 homolog	101588_1	27545	27985	-	441	98	86	97	212	137	144	135	130	122
hypothetical fig|282458.1.peg.573 homolog	101588_1	28610	30016	+	1407	1878	1919	1993	767	678	465	932	638	599
repetative hypothetical protein%2C%0Afig|282458.1.peg.574 homolog	101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1;101588_1	30020;30712;31254;31579;32342;34857;35535;36405	30637;31254;31343;32202;32974;35498;36170;37031	+;+;+;+;+;+;+;+	4412	2531	2194	1949	1305	1171	789	1538	1386	1123
myo-inositol operon protein IolS	101588_1	37301	38239	+	939	1933	2387	2228	1595	1493	1134	1805	1404	1294
hypothetical fig|282458.1.peg.578 homolog	101588_1	38685	39221	+	537	2150	3372	2709	1855	1806	1109	2111	1737	1662
hypothetical fig|282458.1.peg.579 homolog	101588_1	39391	39867	+	477	726	721	707	431	391	206	464	395	370
dNTP triphosphohydrolase%2C broad substrate%0Aspecificity	101588_1	39907	41202	+	1296	2157	2344	2390	2187	1916	1184	2330	2010	1757
Uncharacterized protein YwhD	101588_1	41245	41751	+	507	871	1052	923	762	664	269	850	700	598
Alcohol dehydrogenase	101588_1	42250	43260	+	1011	92	109	126	111	149	47	87	107	66
hypothetical fig|282458.1.peg.583 homolog	101588_1	43536	43952	+	417	985	1201	1228	1262	1140	673	1351	1181	1178
Arginyl-tRNA synthetase	101588_1	43949	45610	+	1662	4081	4900	4562	5751	5062	2131	6509	5166	5089
endonuclease III domain protein	101588_1	46095	46730	+	636	94	103	94	79	76	34	94	83	65
ABC transporter%2C substrate-binding protein%0A(cluster 8%2C B12/iron complex)	101588_1	47060	47947	+	888	796	862	913	356	332	221	394	340	347
Iron(III) dicitrate transport system permease%0Aprotein FecD (TC 3.A.1.14.1)	101588_1	48062	49048	+	987	559	569	525	290	219	187	320	275	254
L-2-haloalkanoic acid dehalogenase	101588_1	49103	49822	+	720	700	771	659	357	277	207	377	324	349
Predicted hydrolase	101588_1	49806	50606	+	801	1179	1187	1225	869	697	563	909	767	720
hypothetical esterase/lipase [EC:3.1.-.-]	101588_1	52295	53083	+	789	1208	1522	1163	2569	2574	1019	2574	2298	2004
Staphylococcal accessory regulator A (SarA)	101588_1	53335	53709	-	375	6736	8243	7768	14357	12970	4794	15387	11550	11551
DNA integration/recombination/invertion protein%0ACDS	101588_1	56378	56938	+	561	642	706	575	392	376	217	487	354	397
Na(+) H(+) antiporter subunit A	101588_1;101588_1	56957;294371	59359;296776	+;-	4809	7807	7396	6730	4417	4166	4578	5532	4648	3902
Na(+) H(+) antiporter subunit B	101588_1;101588_1	59346;293950	59771;294378	+;-	855	1025	1132	968	845	831	663	968	853	766
Na(+) H(+) antiporter subunit C	101588_1;101588_1	59768;293609	60112;293950	+;-	687	843	1058	932	883	755	688	935	863	751
Na(+) H(+) antiporter subunit D	101588_1;101588_1	60102;292120	61598;293616	+;-	2994	3877	3702	3083	2764	2890	2356	3460	3135	2576
Na(+) H(+) antiporter subunit E	101588_1;101588_1	61599;291639	62081;292118	+;-	963	1492	1696	1498	1550	1456	1073	1868	1496	1361
Na(+) H(+) antiporter subunit F	101588_1;101588_1	62078;291346	62380;291639	+;-	597	553	510	482	450	469	284	518	494	412
Na(+) H(+) antiporter subunit G	101588_1;101588_1	62355;291012	62792;291368	+;-	795	1167	1417	1341	1540	1344	777	1829	1396	1453
Na+/H+ antiporter	101588_1;101588_1;101588_5	63131;377260;74076	65173;379104;76154	+;+;+	5967	5380	5747	5119	4347	3946	3969	4825	4179	3930
Manganese ABC transporter%2C periplasmic-binding%0Aprotein SitA	101588_1	66265	67194	-	930	8090	14477	10434	4458	5245	2891	5130	5251	3449
Manganese ABC transporter%2C inner membrane permease%0Aprotein SitD	101588_1	67191	68027	-	837	4649	5964	4135	1464	1904	1465	1990	2058	1331
Manganese ABC transporter%2C ATP-binding protein%0ASitB	101588_1	68021	68764	-	744	7077	10991	7825	2912	3797	2970	3988	3832	2637
Mn-dependent transcriptional regulator MntR	101588_1	68886	69530	+	645	1067	1247	1205	822	720	259	1064	751	708
N-acetylmannosaminyltransferase	101588_1	70598	71362	+	765	921	1099	1106	483	380	193	539	452	500
Teichoic acid export ATP-binding protein TagH	101588_1;101588_7	71422;121249	72216;122766	-;+	2313	3470	3488	3397	1922	1544	779	2205	1633	1531
Teichoic acid translocation permease protein TagG%0ACDS	101588_1;101588_7	72563;122775	73375;123611	+;+	1650	2978	2884	2585	1923	1854	1101	2310	1921	1688
CDP-glycerol:%0AN-acetyl-beta-D-mannosaminyl-1%2C4-N-acetyl-D-%0Aglucosaminyldiphosphoundecaprenyl%0Aglycerophosphotransferase	101588_1	73474	74577	+	1104	811	810	753	362	307	224	463	372	312
Teichoic acid biosynthesis protein X	101588_1	74574	75635	+	1062	718	804	832	444	358	253	550	353	345
Glycerol-3-phosphate cytidylyltransferase	101588_1	75698	76096	+	399	504	582	512	416	300	164	441	320	318
D-alanyl-D-alanine carboxypeptidase / Penicillin%0Abinding protein PBP4	101588_1	76213	77508	-	1296	3102	4133	3990	4423	4464	4301	4963	3892	4260
Efflux ABC transporter%2C permease/ATP-binding%0Aprotein	101588_1	77929	79656	+	1728	9453	10158	9836	9322	8549	5547	11247	8804	8246
Pyrimidine nucleoside transporter	101588_1	80015	81244	+	1230	3478	3404	3091	1859	1580	1015	2053	1688	1627
UPF0750 membrane protein YxkD	101588_1	81769	82602	+	834	1108	1244	1165	1411	1204	876	1536	1318	1195
Ferrichrome transport ATP-binding protein FhuC%0ACDS	101588_1	82884	83681	+	798	1428	1521	1561	1219	1018	619	1520	1047	1083
Ferrichrome transport system permease protein FhuB%0ACDS	101588_1	83717	84721	+	1005	536	603	514	579	517	356	631	507	527
Ferrichrome transport system permease protein FhuG%0ACDS	101588_1	84718	85734	+	1017	693	766	702	633	554	364	744	615	611
Phosphoenolpyruvate-dihydroxyacetone%0Aphosphotransferase%2C dihydroxyacetone binding subunit DhaK%0ACDS	101588_1	85968	86936	+	969	2271	2190	1981	1213	922	681	1142	899	808
Phosphoenolpyruvate-dihydroxyacetone%0Aphosphotransferase%2C ADP-binding subunit DhaL	101588_1	86978	87562	+	585	1205	1152	1240	890	654	384	903	659	675
Phosphoenolpyruvate-dihydroxyacetone%0Aphosphotransferase%2C subunit DhaM%3B DHA-specific IIA%0Acomponent	101588_1	87598	87918	+	321	676	546	569	440	343	147	420	324	353
Lipase LipA	101588_1	90205	91248	+	1044	594	623	664	735	620	458	818	709	640
Acetyltransferase%2C GNAT family	101588_1;101588_1;101588_2;101588_3;101588_3;101588_3;101588_4;101588_5;101588_5;101588_6	92214;114073;472247;3581;18688;401688;125406;162259;167668;112078	92720;114615;472756;4105;19173;402161;125906;162543;168159;112965	-;+;+;-;-;-;-;+;+;-	5211	4893	5059	4730	3227	2667	1814	3830	2911	2765
Two-component response regulator BceR	101588_1	93772	94446	+	675	680	763	713	547	463	309	620	429	448
Two-component sensor histidine kinase BceS	101588_1	94439	95479	+	1041	1020	1134	1120	871	753	615	933	740	721
Bacitracin export ATP-binding protein BceA	101588_1	95626	96387	+	762	765	814	803	1114	948	997	1072	931	1020
Bacitracin export permease protein BceB	101588_1	96377	98266	+	1890	1505	1620	1585	2161	2065	1912	2348	1997	2002
UPF0111 protein YkaA%2C likely to be a phosphate%0Atransport regulator	101588_1	98882	99499	+	618	1990	2501	2102	3506	3789	1878	3680	3561	2809
Probable low-affinity inorganic phosphate%0Atransporter	101588_1	99515	100522	+	1008	2093	2434	1802	2874	3378	2721	3268	3484	2534
Secretory antigen precursor SsaA	101588_1;101588_3;101588_4;101588_6	101104;173145;8684;72781	101901;174047;9451;73590	-;+;-;-	3279	2011	2658	2161	7986	8243	6530	8269	7730	6513
Transcriptional regulator of biofilm formation%0A(AraC/XylS family)	101588_1	103603	105753	+	2151	1173	972	966	267	242	104	359	284	284
Transcriptional regulatory protein YeeN	101588_1	106448	107164	+	717	2182	2533	2339	2281	2036	1271	2640	2060	1951
FIG018171: hypothetical protein of Cupin%0Asuperfamily	101588_1	107164	107637	+	474	839	1074	873	1065	1000	472	1323	1030	978
Catabolite control protein E (CcpE)%2C LysR family%0ACDS	101588_1	108750	109616	+	867	1202	1196	1279	1174	1045	1046	1345	1159	1030
Sugar efflux transpoter	101588_1	110043	111263	+	1221	764	668	571	848	903	545	1028	991	818
putative membrane protein	101588_1;101588_1;101588_1;101588_5	111260;328491;419900;158753	111748;330668;420910;159832	+;-;-;+	4758	2876	3037	2737	2679	2526	2756	3268	2544	2397
Lysine decarboxylase family	101588_1	114710	115276	-	567	1835	1746	1718	2219	1783	1336	2379	1825	1811
Undecaprenyl-diphosphatase	101588_1	116593	117468	-	876	1502	1694	1343	1307	1323	650	1649	1406	1238
Efflux ABC transporter for glutathione/L-cysteine%2C%0Aessential for assembly of bd-type respiratory oxidases %3D>%0ACydD subunit	101588_1	117687	119318	+	1632	1092	1167	1052	1679	1518	825	1765	1558	1276
Efflux ABC transporter for glutathione/L-cysteine%2C%0Aessential for assembly of bd-type respiratory oxidases %3D>%0ACydC subunit	101588_1	119315	120988	+	1674	991	1038	1001	1464	1383	667	1749	1342	1190
Transcriptional regulator MgrA (Regulator of%0Aautolytic activity)	101588_1	121115	121558	-	444	28268	32264	32674	22308	19824	18455	25039	19788	20324
Metal chaperone%2C involved in Zn homeostasis	101588_1;101588_4	121787;22169	122713;23059	+;-	1818	2602	2154	1957	3670	2938	3299	3806	3716	2573
Oxidoreductase YdhF	101588_1	122816	123724	+	909	1652	1923	1731	1259	1179	585	1475	1062	1145
Sodium/di- and tricarboxylate cotransporter	101588_1	124329	125882	+	1554	1016	1121	901	1175	1172	1041	1397	1256	1022
Deoxyribodipyrimidine photolyase	101588_1	125968	127341	+	1374	1734	1849	1825	2539	2480	2320	2880	2348	2123
MFS-type transporter quinolone resistance protein%0ANorA	101588_1	129214	130380	+	1167	655	738	570	1161	1213	1043	1241	1142	931
Cys-tRNA(Pro) deacylase YbaK	101588_1	131304	131786	+	483	267	362	361	525	409	329	538	424	398
Transcriptional repressor of the fructose operon%2C%0ADeoR family	101588_1	132039	132800	+	762	40	167	70	81	168	76	139	139	75
1-phosphofructokinase	101588_1	132797	133717	+	921	72	197	102	108	215	97	156	184	121
PTS system%2C fructose-specific IIA component / PTS%0Asystem%2C fructose-specific IIB component / PTS system%2C%0Afructose-specific IIC component	101588_1	133723	135687	+	1965	198	378	221	257	537	251	432	499	333
N-acetylglucosamine-6-phosphate deacetylase	101588_1	135995	137176	+	1182	883	1031	1017	444	343	247	462	359	362
Hemolysins and related proteins containing CBS%0Adomains	101588_1;101588_1	137397;266840	138746;267880	+;+	2391	4155	4451	4210	5704	5097	2451	6703	5180	5147
oxidoreductase of aldo/keto reductase family%2C%0Asubgroup 1	101588_1;101588_2	138966;21533	139805;22366	+;+	1674	5251	5532	5383	2188	1792	869	2473	1768	1761
CsbB stress response protein	101588_1	139937	140920	+	984	2161	1967	1843	1233	1017	468	1374	1019	983
